Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status,translation
bufr4/0/05/069/0,005069,Canal de réception,0,Mie,,,,,Operational,original
bufr4/0/05/069/1,005069,Canal de réception,1,Rayleigh,,,,,Operational,original
bufr4/0/05/069/2,005069,Canal de réception,2,En réserve,,,,,Operational,original
bufr4/0/05/069/3,005069,Canal de réception,3,Valeur manquante,,,,,Operational,original
