Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/15/001/1/001011,15,Последовательности океанографических сводок,315001,Указатель судна или подвижной наземной станции Позывной сигнал судна,,001011,Указатель судна или подвижной наземной станции Позывной сигнал судна,,,,Operational
bufr4/3/15/001/2/301011,15,Последовательности океанографических сводок,315001,Указатель судна или подвижной наземной станции Позывной сигнал судна,,301011,"Год, месяц, день",,,,Operational
bufr4/3/15/001/3/301012,15,Последовательности океанографических сводок,315001,Указатель судна или подвижной наземной станции Позывной сигнал судна,,301012,"Час, минута",,,,Operational
bufr4/3/15/001/4/301023,15,Последовательности океанографических сводок,315001,Указатель судна или подвижной наземной станции Позывной сигнал судна,,301023,Широта/долгота (низкая точность),,,,Operational
bufr4/3/15/001/5/306001,15,Последовательности океанографических сводок,315001,Указатель судна или подвижной наземной станции Позывной сигнал судна,,306001,"Глубина, температура (Обычно сообщаемые данные подводного зондирования без необязательных полей)",,,,Operational
bufr4/3/15/002/1/001011,15,Последовательности океанографических сводок,315002,Указатель судна или подвижной наземной станции Позывной сигнал судна,,001011,Указатель судна или подвижной наземной станции Позывной сигнал судна,,,,Operational
bufr4/3/15/002/2/301011,15,Последовательности океанографических сводок,315002,Указатель судна или подвижной наземной станции Позывной сигнал судна,,301011,"Год, месяц, день",,,,Operational
bufr4/3/15/002/3/301012,15,Последовательности океанографических сводок,315002,Указатель судна или подвижной наземной станции Позывной сигнал судна,,301012,"Час, минута",,,,Operational
bufr4/3/15/002/4/301023,15,Последовательности океанографических сводок,315002,Указатель судна или подвижной наземной станции Позывной сигнал судна,,301023,Широта/долгота (низкая точность),,,,Operational
bufr4/3/15/002/5/306004,15,Последовательности океанографических сводок,315002,Указатель судна или подвижной наземной станции Позывной сигнал судна,,306004,"Глубина, температура, соленость (Профиль температуры и солености, наблюдаемый с ныряющих буев)",,,,Operational
bufr4/3/15/003/1/001087,15,Последовательности океанографических сводок,315003,Расширенный указатель морской наблюдательной платформы ВМО,,001087,Расширенный указатель морской наблюдательной платформы ВМО,,,,Operational
bufr4/3/15/003/2/001085,15,Последовательности океанографических сводок,315003,Расширенный указатель морской наблюдательной платформы ВМО,,001085,Модель производителя наблюдательной платформы,,,,Operational
bufr4/3/15/003/3/001086,15,Последовательности океанографических сводок,315003,Расширенный указатель морской наблюдательной платформы ВМО,,001086,Серийный номер производителя наблюдательной платформы,,,,Operational
bufr4/3/15/003/4/002036,15,Последовательности океанографических сводок,315003,Расширенный указатель морской наблюдательной платформы ВМО,,002036,Тип буя,,,,Operational
