Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/21/001/1/002101,21,Последовательности радиолокационных сводок,321001,Тип антенны,,002101,Тип антенны,,,,Operational
bufr4/3/21/001/2/002114,21,Последовательности радиолокационных сводок,321001,Тип антенны,,002114,Площадь эффективной поверхности антенны,,,,Operational
bufr4/3/21/001/3/002105,21,Последовательности радиолокационных сводок,321001,Тип антенны,,002105,Максимальное усиление антенны,,,,Operational
bufr4/3/21/001/4/002106,21,Последовательности радиолокационных сводок,321001,Тип антенны,,002106,Ширина луча 3 дБ,,,,Operational
bufr4/3/21/001/5/002107,21,Последовательности радиолокационных сводок,321001,Тип антенны,,002107,Подавление бокового лепестка,,,,Operational
bufr4/3/21/001/6/002121,21,Последовательности радиолокационных сводок,321001,Тип антенны,,002121,Средняя частота (Профилометр ветра — основные данные),,,,Operational
bufr4/3/21/003/1/021051,21,Последовательности радиолокационных сводок,321003,"Мощность сигнала, превышающего 1 мВт",,021051,"Мощность сигнала, превышающего 1 мВт",,,,Operational
bufr4/3/21/003/2/021014,21,Последовательности радиолокационных сводок,321003,"Мощность сигнала, превышающего 1 мВт",,021014,Средняя доплеровская скорость (радиальная),,,,Operational
bufr4/3/21/003/3/021017,21,Последовательности радиолокационных сводок,321003,"Мощность сигнала, превышающего 1 мВт",,021017,Спектральная ширина доплеровской скорости,,,,Operational
bufr4/3/21/003/4/021030,21,Последовательности радиолокационных сводок,321003,"Мощность сигнала, превышающего 1 мВт",,021030,Соотношение сигнал/шум (Профилометр ветра — основные данные зондирования),,,,Operational
bufr4/3/21/004/1/301031,21,Последовательности радиолокационных сводок,321004,"Идентификация и тип станции, дата/время, местоположение (высокая точность), высота станции",,301031,"Идентификация и тип станции, дата/время, местоположение (высокая точность), высота станции",,,,Operational
bufr4/3/21/004/2/002003,21,Последовательности радиолокационных сводок,321004,"Идентификация и тип станции, дата/время, местоположение (высокая точность), высота станции",,002003,Тип используемого измерительного оборудования,,,,Operational
bufr4/3/21/004/3/101000,21,Последовательности радиолокационных сводок,321004,"Идентификация и тип станции, дата/время, местоположение (высокая точность), высота станции",,101000,Повторение с задержкой 1 дескриптора,,,,Operational
bufr4/3/21/004/4/031001,21,Последовательности радиолокационных сводок,321004,"Идентификация и тип станции, дата/время, местоположение (высокая точность), высота станции",,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational
bufr4/3/21/004/5/321003,21,Последовательности радиолокационных сводок,321004,"Идентификация и тип станции, дата/время, местоположение (высокая точность), высота станции",,321003,Профилометр ветра — основные данные (Характеристики приемопередатчика),,,,Operational
bufr4/3/21/005/1/025004,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,025004,Обработка отраженного сигнала,,,,Operational
bufr4/3/21/005/2/002121,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002121,Средняя частота,,,,Operational
bufr4/3/21/005/3/002122,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002122,Диапазон перестройки частоты,,,,Operational
bufr4/3/21/005/4/002123,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002123,Пиковая мощность,,,,Operational
bufr4/3/21/005/5/002124,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002124,Средняя мощность,,,,Operational
bufr4/3/21/005/6/002125,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002125,Частота повторения импульсов,,,,Operational
bufr4/3/21/005/7/002126,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002126,Длительность импульса,,,,Operational
bufr4/3/21/005/8/002127,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002127,Промежуточная частота приемника,,,,Operational
bufr4/3/21/005/9/002128,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002128,Ширина полосы по промежуточной частоте,,,,Operational
bufr4/3/21/005/10/002129,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002129,Минимальный обнаруживаемый сигнал,,,,Operational
bufr4/3/21/005/11/002130,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002130,Динамический диапазон,,,,Operational
bufr4/3/21/005/12/002131,21,Последовательности радиолокационных сводок,321005,Обработка отраженного сигнала,,002131,Временной контроль чувствительности (STC) (Характеристики интеграции),,,,Operational
bufr4/3/21/006/1/025001,21,Последовательности радиолокационных сводок,321006,Длительность строб-импульса,,025001,Длительность строб-импульса,,,,Operational
bufr4/3/21/006/2/025002,21,Последовательности радиолокационных сводок,321006,Длительность строб-импульса,,025002,Количество усредненных строб-импульсов,,,,Operational
bufr4/3/21/006/3/025003,21,Последовательности радиолокационных сводок,321006,Длительность строб-импульса,,025003,Количество интегрированных импульсов,,,,Operational
bufr4/3/21/006/4/025005,21,Последовательности радиолокационных сводок,321006,Длительность строб-импульса,,025005,Интеграция отраженного сигнала (Коррекции),,,,Operational
bufr4/3/21/007/1/025009,21,Последовательности радиолокационных сводок,321007,Метод калибровки,,025009,Метод калибровки,,,,Operational
bufr4/3/21/007/2/025010,21,Последовательности радиолокационных сводок,321007,Метод калибровки,,025010,Подавление мешающих отражений,,,,Operational
bufr4/3/21/007/3/025011,21,Последовательности радиолокационных сводок,321007,Метод калибровки,,025011,Коррекция помех от земной поверхности (защита),,,,Operational
bufr4/3/21/007/4/025012,21,Последовательности радиолокационных сводок,321007,Метод калибровки,,025012,Коррекция затухания с увеличением дальности,,,,Operational
bufr4/3/21/007/5/025013,21,Последовательности радиолокационных сводок,321007,Метод калибровки,,025013,Коррекция яркой полосы,,,,Operational
bufr4/3/21/007/6/025015,21,Последовательности радиолокационных сводок,321007,Метод калибровки,,025015,Коррекция затухания на обтекателе,,,,Operational
bufr4/3/21/007/7/025016,21,Последовательности радиолокационных сводок,321007,Метод калибровки,,025016,Коррекция затухания в прозрачной атмосфере,,,,Operational
bufr4/3/21/007/8/025017,21,Последовательности радиолокационных сводок,321007,Метод калибровки,,025017,Коррекция затухания в осадках I.2 — Табл. D BUFR/21 — 1,(продолж.),,,Operational
bufr4/3/21/008/1/025006,21,Последовательности радиолокационных сводок,321008,Конверсия Z в R,,025006,Конверсия Z в R,,,,Operational
bufr4/3/21/008/2/025007,21,Последовательности радиолокационных сводок,321008,Конверсия Z в R,,025007,Фактор конверсии Z в R,,,,Operational
bufr4/3/21/008/3/025008,21,Последовательности радиолокационных сводок,321008,Конверсия Z в R,,025008,Экспонента конверсии Z в R (Законы от A до Z),,,,Operational
bufr4/3/21/009/1/025018,21,Последовательности радиолокационных сводок,321009,Закон от A до Z для коэффициента затухания,,025018,Закон от A до Z для коэффициента затухания,,,,Operational
bufr4/3/21/009/2/025019,21,Последовательности радиолокационных сводок,321009,Закон от A до Z для коэффициента затухания,,025019,Закон от A до Z для экспоненты затухания (Характеристики антенны),,,,Operational
bufr4/3/21/010/1/002101,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002101,Тип антенны,,,,Operational
bufr4/3/21/010/2/007002,21,Последовательности радиолокационных сводок,321010,Тип антенны,,007002,Высота или абсолютная высота Возвышение основания опоры,,,,Operational
bufr4/3/21/010/3/002102,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002102,Высота антенны над основанием опоры,,,,Operational
bufr4/3/21/010/4/002103,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002103,Обтекатель антенны,,,,Operational
bufr4/3/21/010/5/002104,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002104,Поляризация антенны,,,,Operational
bufr4/3/21/010/6/002105,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002105,Максимальное усиление антенны,,,,Operational
bufr4/3/21/010/7/002106,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002106,Ширина луча 3 дБ,,,,Operational
bufr4/3/21/010/8/002107,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002107,Подавление бокового лепестка,,,,Operational
bufr4/3/21/010/9/002108,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002108,Выделение поперечной поляризации (по оси),,,,Operational
bufr4/3/21/010/10/002109,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002109,Скорость антенны (азимут),,,,Operational
bufr4/3/21/010/11/002110,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002110,Скорость антенны (угол места),,,,Operational
bufr4/3/21/010/12/002132,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002132,Точность по азимуту,,,,Operational
bufr4/3/21/010/13/002133,21,Последовательности радиолокационных сводок,321010,Тип антенны,,002133,Точность по углу места (Общие характеристики),,,,Operational
bufr4/3/21/011/1/030031,21,Последовательности радиолокационных сводок,321011,Тип изображения,,030031,Тип изображения,,,,Operational
bufr4/3/21/011/2/030032,21,Последовательности радиолокационных сводок,321011,Тип изображения,,030032,Комбинация с другими данными,,,,Operational
bufr4/3/21/011/3/029002,21,Последовательности радиолокационных сводок,321011,Тип изображения,,029002,Тип сетки координат (Угол места антенны),,,,Operational
bufr4/3/21/012/1/101000,21,Последовательности радиолокационных сводок,321012,Повторение с задержкой 1 дескриптора,,101000,Повторение с задержкой 1 дескриптора,,,,Operational
bufr4/3/21/012/2/031001,21,Последовательности радиолокационных сводок,321012,Повторение с задержкой 1 дескриптора,,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational
bufr4/3/21/012/3/002135,21,Последовательности радиолокационных сводок,321012,Повторение с задержкой 1 дескриптора,,002135,Угол места антенны (Основная информация о профилометре ветра/ РАСC (заголовок для обозначения системы/места наблюдения)),,,,Operational
bufr4/3/21/021/1/002003,21,Последовательности радиолокационных сводок,321021,Тип используемого измерительного оборудования,,002003,Тип используемого измерительного оборудования,,,,Operational
bufr4/3/21/021/2/002101,21,Последовательности радиолокационных сводок,321021,Тип используемого измерительного оборудования,,002101,Тип антенны,,,,Operational
bufr4/3/21/021/3/201130,21,Последовательности радиолокационных сводок,321021,Тип используемого измерительного оборудования,,201130,Изменить длину данных Длина 8 битов,,,,Operational
bufr4/3/21/021/4/002106,21,Последовательности радиолокационных сводок,321021,Тип используемого измерительного оборудования,,002106,Ширина луча 3 дБ,,,,Operational
bufr4/3/21/021/5/201000,21,Последовательности радиолокационных сводок,321021,Тип используемого измерительного оборудования,,201000,Изменить длину данных Отмена,,,,Operational
