Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/18/001/1/301025,18,Последовательности радиологических сводок,318001,"Широта/долгота (низкая точность), день/время",,301025,"Широта/долгота (низкая точность), день/время",,,,Operational
bufr4/3/18/001/2/024011,18,Последовательности радиологических сводок,318001,"Широта/долгота (низкая точность), день/время",,024011,Доза,,,,Operational
bufr4/3/18/003/1/301026,18,Последовательности радиологических сводок,318003,"Широта/долгота (высокая точность), временной период (день, час, минута)",,301026,"Широта/долгота (высокая точность), временной период (день, час, минута)",,,,Operational
bufr4/3/18/003/2/024005,18,Последовательности радиологических сводок,318003,"Широта/долгота (высокая точность), временной период (день, час, минута)",,024005,Масса изотопа,,,,Operational
bufr4/3/18/003/3/024004,18,Последовательности радиологических сводок,318003,"Широта/долгота (высокая точность), временной период (день, час, минута)",,024004,Название элемента,,,,Operational
bufr4/3/18/003/4/024021,18,Последовательности радиологических сводок,318003,"Широта/долгота (высокая точность), временной период (день, час, минута)",,024021,"Концентрация в воздухе (названного типа изотопа, включая суммарную бета-дозу)",,,,Operational
bufr4/3/18/004/1/301025,18,Последовательности радиологических сводок,318004,"Широта/долгота (низкая точность), день/время",,301025,"Широта/долгота (низкая точность), день/время",,,,Operational
bufr4/3/18/004/2/004023,18,Последовательности радиологических сводок,318004,"Широта/долгота (низкая точность), день/время",,004023,Временной период или отклонение,,,,Operational
bufr4/3/18/004/3/013011,18,Последовательности радиологических сводок,318004,"Широта/долгота (низкая точность), день/время",,013011,Общее количество осадков/общий водный эквивалент,,,,Operational
bufr4/3/18/004/4/024005,18,Последовательности радиологических сводок,318004,"Широта/долгота (низкая точность), день/время",,024005,Масса изотопа,,,,Operational
bufr4/3/18/004/5/024004,18,Последовательности радиологических сводок,318004,"Широта/долгота (низкая точность), день/время",,024004,Название элемента,,,,Operational
bufr4/3/18/004/6/024022,18,Последовательности радиологических сводок,318004,"Широта/долгота (низкая точность), день/время",,024022,Концентрация в осадках (названного типа изотопа) I.2 — Табл. D BUFR/18 — 1,,,,Operational
