Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/00/002/1/000002,00,Последовательности позиций таблицы кода BUFR,300002,"Таблица А: описание категории данных, строка 1",,000002,"Таблица А: описание категории данных, строка 1",,,,Operational
bufr4/3/00/002/2/000003,00,Последовательности позиций таблицы кода BUFR,300002,"Таблица А: описание категории данных, строка 1",,000003,"Таблица А: описание категории данных, строка 2 (Добавить или определить дескриптор F, X, Y)",,,,Operational
bufr4/3/00/003/1/000010,00,Последовательности позиций таблицы кода BUFR,300003,Добавить или определить дескриптор F,,000010,Добавить или определить дескриптор F,,,,Operational
bufr4/3/00/003/2/000011,00,Последовательности позиций таблицы кода BUFR,300003,Добавить или определить дескриптор F,,000011,Добавить или определить дескриптор X,,,,Operational
bufr4/3/00/003/3/000012,00,Последовательности позиций таблицы кода BUFR,300003,Добавить или определить дескриптор F,,000012,Добавить или определить дескриптор Y,,,,Operational
bufr4/3/00/004/1/300003,00,Последовательности позиций таблицы кода BUFR,300004,"Добавить или определить дескриптор F, X, Y",,300003,"Добавить или определить дескриптор F, X, Y",,,,Operational
bufr4/3/00/004/2/000013,00,Последовательности позиций таблицы кода BUFR,300004,"Добавить или определить дескриптор F, X, Y",,000013,"Название элемента, строка 1",,,,Operational
bufr4/3/00/004/3/000014,00,Последовательности позиций таблицы кода BUFR,300004,"Добавить или определить дескриптор F, X, Y",,000014,"Название элемента, строка 2",,,,Operational
bufr4/3/00/004/4/000015,00,Последовательности позиций таблицы кода BUFR,300004,"Добавить или определить дескриптор F, X, Y",,000015,Название единиц,,,,Operational
bufr4/3/00/004/5/000016,00,Последовательности позиций таблицы кода BUFR,300004,"Добавить или определить дескриптор F, X, Y",,000016,Знак масштаба единиц,,,,Operational
bufr4/3/00/004/6/000017,00,Последовательности позиций таблицы кода BUFR,300004,"Добавить или определить дескриптор F, X, Y",,000017,Масштаб единиц,,,,Operational
bufr4/3/00/004/7/000018,00,Последовательности позиций таблицы кода BUFR,300004,"Добавить или определить дескриптор F, X, Y",,000018,Знак начала отсчета,,,,Operational
bufr4/3/00/004/8/000019,00,Последовательности позиций таблицы кода BUFR,300004,"Добавить или определить дескриптор F, X, Y",,000019,Величина начала отсчета единиц,,,,Operational
bufr4/3/00/004/9/000020,00,Последовательности позиций таблицы кода BUFR,300004,"Добавить или определить дескриптор F, X, Y",,000020,Длина данных элемента,,,,Operational
bufr4/3/00/010/1/300003,00,Последовательности позиций таблицы кода BUFR,300010,"Добавить или определить дескриптор F, X, Y",,300003,"Добавить или определить дескриптор F, X, Y",,,,Operational
bufr4/3/00/010/2/101000,00,Последовательности позиций таблицы кода BUFR,300010,"Добавить или определить дескриптор F, X, Y",,101000,Повторение с задержкой 1 дескриптора,,,,Operational
bufr4/3/00/010/3/031001,00,Последовательности позиций таблицы кода BUFR,300010,"Добавить или определить дескриптор F, X, Y",,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational
bufr4/3/00/010/4/000030,00,Последовательности позиций таблицы кода BUFR,300010,"Добавить или определить дескриптор F, X, Y",,000030,Последовательность определения дескриптора (Определение кодовой таблицы),,,,Operational
bufr4/3/00/015/1/000030,00,Последовательности позиций таблицы кода BUFR,300015,Последовательность определения дескриптора,,000030,Последовательность определения дескриптора,,,,Operational
bufr4/3/00/015/2/102000,00,Последовательности позиций таблицы кода BUFR,300015,Последовательность определения дескриптора,,102000,Повторение с задержкой 2 дескрипторов,,,,Operational
bufr4/3/00/015/3/031002,00,Последовательности позиций таблицы кода BUFR,300015,Последовательность определения дескриптора,,031002,Коэффициент повторения расширенного дескриптора с задержкой,,,,Operational
bufr4/3/00/015/4/000024,00,Последовательности позиций таблицы кода BUFR,300015,Последовательность определения дескриптора,,000024,Кодовая цифра,,,,Operational
bufr4/3/00/015/5/000025,00,Последовательности позиций таблицы кода BUFR,300015,Последовательность определения дескриптора,,000025,Значение кодовой цифры (Определение таблицы флагов),,,,Operational
bufr4/3/00/016/1/000030,00,Последовательности позиций таблицы кода BUFR,300016,Последовательность определения дескриптора,,000030,Последовательность определения дескриптора,,,,Operational
bufr4/3/00/016/2/102000,00,Последовательности позиций таблицы кода BUFR,300016,Последовательность определения дескриптора,,102000,Повторение с задержкой 2 дескрипторов,,,,Operational
bufr4/3/00/016/3/031001,00,Последовательности позиций таблицы кода BUFR,300016,Последовательность определения дескриптора,,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational
bufr4/3/00/016/4/000026,00,Последовательности позиций таблицы кода BUFR,300016,Последовательность определения дескриптора,,000026,Номер бита,,,,Operational
bufr4/3/00/016/5/000027,00,Последовательности позиций таблицы кода BUFR,300016,Последовательность определения дескриптора,,000027,Значение номера бита I.2 — Табл. D BUFR/00 — 1,,,,Operational
