Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/22/028/1/001007,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,001007,Указатель спутника,,,,Operational
bufr4/3/22/028/2/002019,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,002019,Спутниковые приборы,,,,Operational
bufr4/3/22/028/3/004001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,004001,Год,,,,Operational
bufr4/3/22/028/4/004002,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,004002,Месяц,,,,Operational
bufr4/3/22/028/5/004003,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,004003,День,,,,Operational
bufr4/3/22/028/6/004004,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,004004,Час,,,,Operational
bufr4/3/22/028/7/004005,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,004005,Минута,,,,Operational
bufr4/3/22/028/8/004006,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,004006,Секунда,,,,Operational
bufr4/3/22/028/9/005001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,005001,Широта (высокая точность),,,,Operational
bufr4/3/22/028/10/006001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,006001,Долгота (высокая точность),,,,Operational
bufr4/3/22/028/11/027001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,027001,Широта (высокая точность),,,,Operational
bufr4/3/22/028/12/028001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,028001,Долгота (высокая точность),,,,Operational
bufr4/3/22/028/13/027001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,027001,Широта (высокая точность),,,,Operational
bufr4/3/22/028/14/028001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,028001,Долгота (высокая точность),,,,Operational
bufr4/3/22/028/15/027001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,027001,Широта (высокая точность),,,,Operational
bufr4/3/22/028/16/028001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,028001,Долгота (высокая точность),,,,Operational
bufr4/3/22/028/17/027001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,027001,Широта (высокая точность),,,,Operational
bufr4/3/22/028/18/028001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,028001,Долгота (высокая точность),,,,Operational
bufr4/3/22/028/19/010001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,010001,Высота поверхности суши,,,,Operational
bufr4/3/22/028/20/014019,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,014019,Альбедо поверхности,,,,Operational
bufr4/3/22/028/21/007025,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,007025,Зенитный угол Солнца,,,,Operational
bufr4/3/22/028/22/010080,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,010080,Зенитный угол визирования,,,,Operational
bufr4/3/22/028/23/005023,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,005023,Отклонение азимута Солнца от азимута спутника,,,,Operational
bufr4/3/22/028/24/020010,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,020010,Облачность (общая),,,,Operational
bufr4/3/22/028/25/008003,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,008003,Вертикальная значимость (спутниковые наблюдения),,,,Operational
bufr4/3/22/028/26/007004,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,007004,Давление,,,,Operational
bufr4/3/22/028/27/014026,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,014026,Альбедо на вершинах облаков,,,,Operational
bufr4/3/22/028/28/020014,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,020014,Высота верхней границы облаков,,,,Operational
bufr4/3/22/028/29/013093,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,013093,Оптическая толщина облаков,,,,Operational
bufr4/3/22/028/30/105000,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,105000,Повторение с задержкой 5 дескрипторов,,,,Operational
bufr4/3/22/028/31/031001,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational
bufr4/3/22/028/32/007004,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,007004,Давление,,,,Operational
bufr4/3/22/028/33/007004,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,007004,Давление,,,,Operational
bufr4/3/22/028/34/008043,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,008043,Типы химических или физических составляющих атмосферы,,,,Operational
bufr4/3/22/028/35/008044,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,008044,Регистрационный номер CAS*,,,,Operational
bufr4/3/22/028/36/015021,22,Последовательности химических веществ и аэрозолей,322028,Указатель спутника,,015021,Интегральная плотность массы I.2 — Табл. D BUFR/22 — 1,,,,Operational
