Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/01/001/1/001001,01,Последовательности местоположения и идентификации,301001,Номер блока ВМО,,001001,Номер блока ВМО,,,,Operational
bufr4/3/01/001/2/001002,01,Последовательности местоположения и идентификации,301001,Номер блока ВМО,,001002,Номер станции ВМО,,,,Operational
bufr4/3/01/002/1/001003,01,Последовательности местоположения и идентификации,301002,Номер Региона ВМО/географический район,,001003,Номер Региона ВМО/географический район,,,,Operational
bufr4/3/01/002/2/001004,01,Последовательности местоположения и идентификации,301002,Номер Региона ВМО/географический район,,001004,Номер подрегиона ВМО,,,,Operational
bufr4/3/01/002/3/001005,01,Последовательности местоположения и идентификации,301002,Номер Региона ВМО/географический район,,001005,Указатель буя/платформы (Позывной сигнал судна и его движение),,,,Operational
bufr4/3/01/003/1/001011,01,Последовательности местоположения и идентификации,301003,Указатель судна или подвижной наземной станции Позывной сигнал судна,,001011,Указатель судна или подвижной наземной станции Позывной сигнал судна,,,,Operational
bufr4/3/01/003/2/001012,01,Последовательности местоположения и идентификации,301003,Указатель судна или подвижной наземной станции Позывной сигнал судна,,001012,Направление движения подвижной наблюдательной платформы,,,,Operational
bufr4/3/01/003/3/001013,01,Последовательности местоположения и идентификации,301003,Указатель судна или подвижной наземной станции Позывной сигнал судна,,001013,Скорость движения подвижной наблюдательной платформы (Идентификация станции приземных наблюдений),,,,Operational
bufr4/3/01/004/1/001001,01,Последовательности местоположения и идентификации,301004,Номер блока ВМО,,001001,Номер блока ВМО,,,,Operational
bufr4/3/01/004/2/001002,01,Последовательности местоположения и идентификации,301004,Номер блока ВМО,,001002,Номер станции ВМО,,,,Operational
bufr4/3/01/004/3/001015,01,Последовательности местоположения и идентификации,301004,Номер блока ВМО,,001015,Название станции или поста,,,,Operational
bufr4/3/01/004/4/002001,01,Последовательности местоположения и идентификации,301004,Номер блока ВМО,,002001,Тип станции (Центр/подцентр-поставщик),,,,Operational
bufr4/3/01/005/1/001035,01,Последовательности местоположения и идентификации,301005,Центр-производитель,,001035,Центр-производитель,,,,Operational
bufr4/3/01/005/2/001034,01,Последовательности местоположения и идентификации,301005,Центр-производитель,,001034,"Идентификация подцентра — поставщика/ производителя продукции (Год, месяц, день)",,,,Operational
bufr4/3/01/011/1/004001,01,Последовательности местоположения и идентификации,301011,Год,,004001,Год,,,,Operational
bufr4/3/01/011/2/004002,01,Последовательности местоположения и идентификации,301011,Год,,004002,Месяц,,,,Operational
bufr4/3/01/011/3/004003,01,Последовательности местоположения и идентификации,301011,Год,,004003,"День (Час, минуты)",,,,Operational
bufr4/3/01/012/1/004004,01,Последовательности местоположения и идентификации,301012,Час,,004004,Час,,,,Operational
bufr4/3/01/012/2/004005,01,Последовательности местоположения и идентификации,301012,Час,,004005,"Минута (Час, минута, секунда)",,,,Operational
bufr4/3/01/013/1/004004,01,Последовательности местоположения и идентификации,301013,Час,,004004,Час,,,,Operational
bufr4/3/01/013/2/004005,01,Последовательности местоположения и идентификации,301013,Час,,004005,Минута,,,,Operational
bufr4/3/01/013/3/004006,01,Последовательности местоположения и идентификации,301013,Час,,004006,Секунда (Временной период),,,,Operational
bufr4/3/01/014/1/102002,01,Последовательности местоположения и идентификации,301014,Повторить 2 дескриптора 2 раза,,102002,Повторить 2 дескриптора 2 раза,,,,Operational
bufr4/3/01/014/2/301011,01,Последовательности местоположения и идентификации,301014,Повторить 2 дескриптора 2 раза,,301011,"Год, месяц, день",,,,Operational
bufr4/3/01/014/3/301012,01,Последовательности местоположения и идентификации,301014,Повторить 2 дескриптора 2 раза,,301012,"Час, минута (Шифрованный позывной сигнал судна и метод См. примечания шифрования) 2–4",,,,Operational
bufr4/3/01/018/1/001114,01,Последовательности местоположения и идентификации,301018,Шифрованный идентификатор судна или подвижной наземной станции (кодирование base64),,001114,Шифрованный идентификатор судна или подвижной наземной станции (кодирование base64),,,,Operational
bufr4/3/01/018/2/025185,01,Последовательности местоположения и идентификации,301018,Шифрованный идентификатор судна или подвижной наземной станции (кодирование base64),,025185,Метод шифрования,,,,Operational
bufr4/3/01/018/3/025186,01,Последовательности местоположения и идентификации,301018,Шифрованный идентификатор судна или подвижной наземной станции (кодирование base64),,025186,Версия ключа шифрования I.2 – Табл. D BUFR/01 — 1,(продолж.),,,Operational
bufr4/3/01/021/1/005001,01,Последовательности местоположения и идентификации,301021,Широта (высокая точность),,005001,Широта (высокая точность),,,,Operational
bufr4/3/01/021/2/006001,01,Последовательности местоположения и идентификации,301021,Широта (высокая точность),,006001,"Долгота (высокая точность) (Широта/долгота (высокая точность), высота станции)",,,,Operational
bufr4/3/01/022/1/005001,01,Последовательности местоположения и идентификации,301022,Широта (высокая точность),,005001,Широта (высокая точность),,,,Operational
bufr4/3/01/022/2/006001,01,Последовательности местоположения и идентификации,301022,Широта (высокая точность),,006001,Долгота (высокая точность),,,,Operational
bufr4/3/01/022/3/007001,01,Последовательности местоположения и идентификации,301022,Широта (высокая точность),,007001,Высота станции (Широта/долгота (низкая точность)),,,,Operational
bufr4/3/01/023/1/005002,01,Последовательности местоположения и идентификации,301023,Широта (низкая точность),,005002,Широта (низкая точность),,,,Operational
bufr4/3/01/023/2/006002,01,Последовательности местоположения и идентификации,301023,Широта (низкая точность),,006002,"Долгота (низкая точность) (Широта/долгота (низкая точность), высота станции)",,,,Operational
bufr4/3/01/024/1/005002,01,Последовательности местоположения и идентификации,301024,Широта (низкая точность),,005002,Широта (низкая точность),,,,Operational
bufr4/3/01/024/2/006002,01,Последовательности местоположения и идентификации,301024,Широта (низкая точность),,006002,Долгота (низкая точность),,,,Operational
bufr4/3/01/024/3/007001,01,Последовательности местоположения и идентификации,301024,Широта (низкая точность),,007001,"Высота станции (Широта/долгота (низкая точность), день/время)",,,,Operational
bufr4/3/01/025/1/301023,01,Последовательности местоположения и идентификации,301025,Широта/долгота (низкая точность),,301023,Широта/долгота (низкая точность),,,,Operational
bufr4/3/01/025/2/004003,01,Последовательности местоположения и идентификации,301025,Широта/долгота (низкая точность),,004003,День,,,,Operational
bufr4/3/01/025/3/301012,01,Последовательности местоположения и идентификации,301025,Широта/долгота (низкая точность),,301012,"Час, минута (Широта/долгота (высокая точность), временной период (день, час, минута))",,,,Operational
bufr4/3/01/026/1/301021,01,Последовательности местоположения и идентификации,301026,Широта/долгота (высокая точность),,301021,Широта/долгота (высокая точность),,,,Operational
bufr4/3/01/026/2/004003,01,Последовательности местоположения и идентификации,301026,Широта/долгота (высокая точность),,004003,День Временной,,,,Operational
bufr4/3/01/026/3/004003,01,Последовательности местоположения и идентификации,301026,Широта/долгота (высокая точность),,004003,День период в днях,,,,Operational
bufr4/3/01/026/4/004004,01,Последовательности местоположения и идентификации,301026,Широта/долгота (высокая точность),,004004,Час Временной,,,,Operational
bufr4/3/01/026/5/004004,01,Последовательности местоположения и идентификации,301026,Широта/долгота (высокая точность),,004004,Час период в часах,,,,Operational
bufr4/3/01/026/6/004005,01,Последовательности местоположения и идентификации,301026,Широта/долгота (высокая точность),,004005,Минута Временной,,,,Operational
bufr4/3/01/026/7/004005,01,Последовательности местоположения и идентификации,301026,Широта/долгота (высокая точность),,004005,Минута период в минутах (Описание характеристики в 3-х или 2-х измерениях),,,,Operational
bufr4/3/01/027/1/008007,01,Последовательности местоположения и идентификации,301027,"Значимость размера = 0 Точка, = 1 Строка, = 2 Зона, = 3 Объем",,008007,"Значимость размера = 0 Точка, = 1 Строка, = 2 Зона, = 3 Объем",,,,Operational
bufr4/3/01/027/2/101000,01,Последовательности местоположения и идентификации,301027,"Значимость размера = 0 Точка, = 1 Строка, = 2 Зона, = 3 Объем",,101000,Повторение с задержкой 1 дескриптора,,,,Operational
bufr4/3/01/027/3/031001,01,Последовательности местоположения и идентификации,301027,"Значимость размера = 0 Точка, = 1 Строка, = 2 Зона, = 3 Объем",,031001,Коэффициент повторения дескриптора с задержкой (см. примечание 5),,,,Operational
